condition,step,phase,train_loss,timestamp
curriculum,280,easy,4.407003879547119,2026-06-25T21:30:18+00:00
curriculum,290,easy,4.103776931762695,2026-06-25T21:30:19+00:00
curriculum,300,easy,4.2964019775390625,2026-06-25T21:30:19+00:00
curriculum,310,medium,4.98027229309082,2026-06-25T21:30:22+00:00
curriculum,320,medium,5.031326770782471,2026-06-25T21:30:22+00:00
curriculum,330,medium,4.946379661560059,2026-06-25T21:30:22+00:00
curriculum,340,medium,5.423745155334473,2026-06-25T21:30:23+00:00
curriculum,350,medium,5.079885005950928,2026-06-25T21:30:23+00:00
curriculum,360,medium,4.3500285148620605,2026-06-25T21:30:23+00:00
curriculum,370,medium,4.574134826660156,2026-06-25T21:30:23+00:00
curriculum,380,medium,4.770566940307617,2026-06-25T21:30:23+00:00
curriculum,390,medium,4.896521091461182,2026-06-25T21:30:24+00:00
curriculum,400,medium,4.775512218475342,2026-06-25T21:30:24+00:00
curriculum,410,medium,4.702116966247559,2026-06-25T21:30:27+00:00
curriculum,420,medium,5.103648662567139,2026-06-25T21:30:27+00:00
curriculum,430,medium,5.08982515335083,2026-06-25T21:30:27+00:00
curriculum,440,medium,5.339064121246338,2026-06-25T21:30:27+00:00
curriculum,450,medium,4.993040084838867,2026-06-25T21:30:28+00:00
curriculum,460,medium,4.066460132598877,2026-06-25T21:30:28+00:00
curriculum,470,medium,4.552183628082275,2026-06-25T21:30:28+00:00
curriculum,480,medium,4.721305847167969,2026-06-25T21:30:28+00:00
curriculum,490,medium,5.237659931182861,2026-06-25T21:30:29+00:00
curriculum,500,medium,5.220526695251465,2026-06-25T21:30:29+00:00
curriculum,510,medium,5.416358470916748,2026-06-25T21:30:33+00:00
curriculum,520,medium,4.689638137817383,2026-06-25T21:30:33+00:00
curriculum,530,medium,4.827202796936035,2026-06-25T21:30:33+00:00
curriculum,540,medium,4.8069844245910645,2026-06-25T21:30:33+00:00
curriculum,550,medium,5.256345272064209,2026-06-25T21:30:33+00:00
curriculum,560,medium,4.848488807678223,2026-06-25T21:30:34+00:00
curriculum,570,medium,4.898717880249023,2026-06-25T21:30:34+00:00
curriculum,580,medium,4.477949619293213,2026-06-25T21:30:34+00:00
curriculum,590,medium,5.547799587249756,2026-06-25T21:30:34+00:00
curriculum,600,medium,5.303559303283691,2026-06-25T21:30:35+00:00
curriculum,610,hard,4.780462741851807,2026-06-25T21:30:38+00:00
curriculum,620,hard,4.9755449295043945,2026-06-25T21:30:38+00:00
curriculum,630,hard,5.105618953704834,2026-06-25T21:30:38+00:00
curriculum,640,hard,3.908529043197632,2026-06-25T21:30:38+00:00
curriculum,650,hard,4.934354782104492,2026-06-25T21:30:38+00:00
curriculum,660,hard,4.89601993560791,2026-06-25T21:30:39+00:00
curriculum,670,hard,4.9194207191467285,2026-06-25T21:30:39+00:00
curriculum,680,hard,4.472208023071289,2026-06-25T21:30:39+00:00
curriculum,690,hard,4.3006415367126465,2026-06-25T21:30:40+00:00
curriculum,700,hard,4.587172985076904,2026-06-25T21:30:41+00:00
curriculum,710,hard,4.224819183349609,2026-06-25T21:30:51+00:00
curriculum,720,hard,4.941994667053223,2026-06-25T21:30:51+00:00
curriculum,730,hard,5.285727024078369,2026-06-25T21:30:51+00:00
curriculum,740,hard,4.804437637329102,2026-06-25T21:30:51+00:00
curriculum,750,hard,4.82861328125,2026-06-25T21:30:51+00:00
curriculum,760,hard,4.681013107299805,2026-06-25T21:30:52+00:00
curriculum,770,hard,5.016327381134033,2026-06-25T21:30:52+00:00
curriculum,780,hard,4.691184997558594,2026-06-25T21:30:52+00:00
curriculum,790,hard,4.895524501800537,2026-06-25T21:30:52+00:00
curriculum,800,hard,4.817765235900879,2026-06-25T21:30:53+00:00
curriculum,810,hard,4.562751770019531,2026-06-25T21:30:56+00:00
curriculum,820,hard,4.747214317321777,2026-06-25T21:30:57+00:00
curriculum,830,hard,4.983626842498779,2026-06-25T21:30:57+00:00
curriculum,840,hard,4.400385856628418,2026-06-25T21:30:57+00:00
curriculum,850,hard,4.646880626678467,2026-06-25T21:30:57+00:00
curriculum,860,hard,4.849256992340088,2026-06-25T21:30:58+00:00
curriculum,870,hard,4.787733554840088,2026-06-25T21:30:58+00:00
curriculum,880,hard,4.609634876251221,2026-06-25T21:30:58+00:00
curriculum,890,hard,4.342118740081787,2026-06-25T21:30:58+00:00
curriculum,900,hard,4.536126613616943,2026-06-25T21:30:58+00:00
